//############################################################
//# -- X6 MUONLINE SERVER EMULATOR
//# -- www.igcn.mu
//# -- www.muemu.pl
//# -- (C) 2017 IGC-Network | MUEMU (R)
//# ----------------------------------------------------------
//# -- File is a part of MUEMU MuOnline Server files.
//############################################################

// [1] Index - Incremental unique value
// [2] ClassType
//	- 1: Blade Master
//	- 2: Grand Master
//	- 4: High Elf
//	- 8: Dimension Master
//	- 16: Duel Masters
//	- 32: Lord Emperor
//	- 64: Fist Master
//	- 255: All Classes
// -- To share same skill among multiple classes sum their ClassType, e.g. Blade Master and High Elf: 1 + 4 = 5
// [3] AttrType
//		- 0: Passive Skill (1st tree box)
//		- 1: Skill Enhancement(2nd tree box)
//		- 2: Defense / Attack Strengthen (3rd tree box)
// [4] ReqPoint - Required Skill Points to get it active
// [5] MaxPoint - Maximum Skill Points for the Skill
// [6] ParentSkill1 - Parent (leading) Skill ID
// [7] ParentSkill2 - Parent 2 (leading) Skill ID
// [8] SkillID - \Data\Skills\SkillList.txt
// [9] Description - Skill Name

0 // DO NOT REMOVE SECTION NUMBER
// -- Protection - Passive (Blade Master) ---------------------------------------------------------------------
// -- Index 1-28 (common for all classes), 29-36 dedicated for class ------------------------------------------
// ============================================================================================================
//	[1]		[2]		[3]		[4]		[5]		[6]		[7]		[8]		[9]
// ============================================================================================================
// ------------------------------------------------------------------------------------------------------------
	1		1		0		1		20		0		0		300		// Durability Reduction (1)
//	2 ---------------------------------------------------------------------------------------------------------
//	3 ---------------------------------------------------------------------------------------------------------
	4		1		0		1		20		0		0		301		// PvP Defence Rate Increase
//	5 ---------------------------------------------------------------------------------------------------------
	6		1		0		1		20		0		0		302		// Maximum SD increase
	7		1		0		1		20		0		0		303		// Automatic Mana Recovery Increase
	8		1		0		1		20		0		0		304		// Poison Resistance Increase
	9		1		0		1		20		300		0		305		// Durability Reduction (2)
	10		1		0		1		20		302		0		306		// SD Recovery Speed Increase
	11		1		0		1		20		303		0		307		// Automatic HP Recovery Increase
	12		1		0		1		20		304		0		308		// Lightning Resistance Increase
//	13 --------------------------------------------------------------------------------------------------------
	14		1		0		1		20		0		0		309		// Defense Increase
	15		1		0		1		20		307		0		310		// Automatic AG Recovery Increase
	16		1		0		1		20		308		0		311		// Ice Resistance Increase
	17		1		0		1		20		305		0		312		// Durability Reduction (3)
	18		1		0		1		20		309		0		313		// Defense Success Rate Increase
//	19 --------------------------------------------------------------------------------------------------------
//	20 --------------------------------------------------------------------------------------------------------
//	21 --------------------------------------------------------------------------------------------------------
//	22		1		0		1		20		313		0		314		// Cast Invincibility
	23		1		0		1		20		0		0		315		// Armor Set Bonus Increase
	24		1		0		1		20		315		0		316		// Vengeance
	25		1		0		1		20		0		0		317		// Energy Increase
	26		1		0		1		20		0		0		318		// Stamina Increase
	27		1		0		1		20		0		0		319		// Agility Increase
	28		1		0		1		20		0		0		320		// Strength Increase
// ------------------------------------------------------------------------------------------------------------
//	29		1		0		1		20		0		0		321		// Wing of Storm Absorption PowUp
	30		1		0		1		20		0		0		322		// Wing of Storm Defense PowUp
//	31 --------------------------------------------------------------------------------------------------------
//	32 --------------------------------------------------------------------------------------------------------
//	33 --------------------------------------------------------------------------------------------------------
	34		1		0		1		20		322		0		324		// Wing of Storm Attack PowUp
//	35 --------------------------------------------------------------------------------------------------------
//	36 --------------------------------------------------------------------------------------------------------


// [1] Index - Incremental unique value
// [2] ClassType
//	- 1: Blade Master
//	- 2: Grand Master
//	- 4: High Elf
//	- 8: Dimension Master
//	- 16: Duel Masters
//	- 32: Lord Emperor
//	- 64: Fist Master
//	- 255: All Classes
// -- To share same skill among multiple classes sum their ClassType, e.g. Blade Master and High Elf: 1 + 4 = 5
// [3] AttrType
//		- 0: Passive Skill (1st tree box)
//		- 1: Skill Enhancement(2nd tree box)
//		- 2: Defense / Attack Strengthen (3rd tree box)
// [4] ReqPoint - Required Skill Points to get it active
// [5] MaxPoint - Maximum Skill Points for the Skill
// [6] ParentSkill1 - Parent (leading) Skill ID
// [7] ParentSkill2 - Parent 2 (leading) Skill ID
// [8] SkillID - \Data\Skills\SkillList.txt
// [9] Description - Skill Name

// -- Bravery - Skill Enhancement (Blade Master) --------------------------------------------------------------
