//############################################################
//# -- X6 MUONLINE SERVER EMULATOR
//# -- www.igcn.mu
//# -- www.muemu.pl
//# -- (C) 2017 IGC-Network | MUEMU (R)
//# ----------------------------------------------------------
//# -- File is a part of MUEMU MuOnline Server files.
//############################################################


// Monster Statistics for DopperGanfer event must be changed using multiplier from this configuration file.
// Do not change Monster Statistics from MonsterList.xml file as it will cause issues.

// [1] - Maximum player level on the event - configuration will be assigned up to the configured level
// ------------------------------------------------------------------------------------------------------
// [2] - Monster Level Multiplier depending from Players count participating the event (1)
// [3] - Monster Level Multiplier depending from Players count participating the event (2)
// [4] - Monster Level Multiplier depending from Players count participating the event (3)
// [5] - Monster Level Multiplier depending from Players count participating the event (4)
// [6] - Monster Level Multiplier depending from Players count participating the event (5)
// ------------------------------------------------------------------------------------------------------
// [7] - Monster HP Multiplier depending from Players count participating the event (1)
// [8] - Monster HP Multiplier depending from Players count participating the event (2)
// [9] - Monster HP Multiplier depending from Players count participating the event (3)
// [10] - Monster HP Multiplier depending from Players count participating the event (4)
// [11] - Monster HP Multiplier depending from Players count participating the event (5)
// ------------------------------------------------------------------------------------------------------
// [12] - Monster Damage Multiplier depending from Players count participating the event (1)
// [13] - Monster Damage Multiplier depending from Players count participating the event (2)
// [14] - Monster Damage Multiplier depending from Players count participating the event (3)
// [15] - Monster Damage Multiplier depending from Players count participating the event (4)
// [16] - Monster Damage Multiplier depending from Players count participating the event (5)
// ------------------------------------------------------------------------------------------------------
// [17] - Monster Defence Multiplier depending from Players count participating the event (1)
// [18] - Monster Defence Multiplier depending from Players count participating the event (2)
// [19] - Monster Defence Multiplier depending from Players count participating the event (3)
// [20] - Monster Defence Multiplier depending from Players count participating the event (4)
// [21] - Monster Defence Multiplier depending from Players count participating the event (5)
// -----------------------------------------------------------------------------------------------------------------------
// [22] - Count of Items dropping from Interim Reward Chest
// [23] - Section Number from IGC_DoppelGanger_DropInfo.dat file for items configuration dropping from Interim Chest (1)
// [24] - Drop Rate from Interim Chest (1) - n/1000000
// [25] - Section Number from IGC_DoppelGanger_DropInfo.dat file for items configuration dropping from Interim Chest (2)
// [26] - Drop Rate from Interim Chest (2) - n/1000000
// [27] - Section Number from IGC_DoppelGanger_DropInfo.dat file for items configuration dropping from Interim Chest (3)
// [28] - Drop Rate from Interim Chest (3) - n/1000000
// -----------------------------------------------------------------------------------------------------------------------
// [29] - Count of Items dropping from  Final Reward Chest
// [30] - Section Number from IGC_DoppelGanger_DropInfo.dat file for items configuration dropping from Final Chest (1)
// [31] - Drop Rate from Final Chest (1) - n/1000000
// [32] - Section Number from IGC_DoppelGanger_DropInfo.dat file for items configuration dropping from Final Chest (2)
// [33] - Drop Rate from Final Chest (2) - n/1000000
// [34] - Section Number from IGC_DoppelGanger_DropInfo.dat file for items configuration dropping from Final Chest (3)
// [35] - Drop Rate from Final Chest (3) - n/1000000
// [36] - Section Number from IGC_DoppelGanger_DropInfo.dat file for items configuration dropping from Final Chest (4)
// [37] - Drop Rate from Final Chest (4) - n/1000000
// [38] - Section Number from IGC_DoppelGanger_DropInfo.dat file for items configuration dropping from Final Chest (5)
// [39] - Drop Rate from Final Chest (5) - n/1000000
// [40] - Section Number from IGC_DoppelGanger_DropInfo.dat file for items configuration dropping from Final Chest (6)
// [41] - Drop Rate from Final Chest (6) - n/1000000

// ===================================================================================================================================================================================================================================================================================================================================================================
//	[1]		[2]		[3]		[4]		[5]		[6]		[7]		[8]		[9]		[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]	[18]	[19]	[20]	[21]	[22]	[23]	[24]		[25]	[26]		[27]	[28]		[29]	[30]	[31]		[32]	[33]		[34]	[35]		[36]	[37]	[38]	[39]	[40]	[41]
// ===================================================================================================================================================================================================================================================================================================================================================================
// -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	10		1		1		1		1		1		1		2		3		3.8		4.8		1		2		3		3.7		4.7		1		2		3		3.7		4.5		1		12		1000000		13		1000000		14		100000		5		4		600000		8		600000		13		100000		14		1000	15		100		16		10
	20		1.2		1.2		1.2		1.2		1.2		2		2.2		3.2		4		5		1.15	2.05	3.05	3.75	4.75	1.35	2.15	3.15	3.85	4.65	1		12		1000000		13		1000000		14		100000		5		4		600000		8		600000		13		100000		14		1000	15		100		16		10
	30		1.6		1.6		1.6		1.6		1.6		2.7		2.4		3.4		4.2		5.2		1.2		2.1		3.1		3.8		4.8		1.5		2.3		3.3		4		4.8		1		12		1000000		13		1000000		14		100000		5		4		600000		8		600000		13		100000		14		1000	15		100		16		10
	40		1.9		1.9		1.9		1.9		1.9		3.4		2.6		3.6		4.4		5.4		1.23	2.15	3.15	3.85	4.85	1.65	2.45	3.45	4.15	4.95	1		12		1000000		13		1000000		14		100000		5		4		600000		8		600000		13		100000		14		1000	15		100		16		10
	50		2.2		2.2		2.2		2.2		2.2		4.1		2.8		3.8		4.6		5.6		1.43	2.18	3.18	3.88	4.88	1.8		2.6		3.6		4.3		5.1		1		12		1000000		13		1000000		14		100000		5		4		600000		8		600000		13		100000		14		1000	15		100		16		10
	60		2.5		2.5		2.5		2.5		2.5		4.8		3.5		4.5		5.3		6.3		1.63	2.38	3.38	4.08	5.08	1.95	2.75	3.75	4.45	5.25	1		12		1000000		13		1000000		14		100000		5		4		600000		8		600000		13		100000		14		1000	15		100		16		10
	70		2.7		2.7		2.7		2.7		2.7		5.5		4		5		5.8		6.8		1.83	2.58	3.58	4.28	5.28	2.1		2.9		3.9		4.6		5.4		1		12		1000000		13		1000000		14		100000		5		4		600000		8		600000		13		100000		14		1000	15		100		16		10
	80		3		3		3		3		3		6.2		4.5		5.5		6.3		7.3		2.1		2.78	3.78	4.48	5.48	2.25	3.05	4.05	4.75	5.55	1		12		1000000		13		1000000		14		100000		5		4		600000		8		600000		13		100000		14		1000	15		100		16		10
	90		3.3		3.3		3.3		3.3		3.3		6.9		5		6		6.8		7.8		2.31	2.98	3.98	4.68	5.68	2.4		3.2		4.2		4.9		5.8		1		12		1000000		13		1000000		14		100000		5		4		600000		8		600000		13		100000		14		1000	15		100		16		10
	100		3.6		3.6		3.6		3.6		3.6		7.6		6		7		7.8		8.8		2.51	3.28	4.28	4.98	5.98	2.55	3.35	4.35	5.05	6.85	1		12		1000000		13		1000000		14		100000		5		5		600000		9		600000		13		100000		14		1000	15		100		16		10
	110		3.65	3.65	3.65	3.65	3.65	8.3		6.5		7.5		8.3		9.3		2.71	3.48	4.48	5.18	6.18	2.7		3.5		4.5		5.2		6		1		12		1000000		13		1000000		14		100000		5		5		600000		9		600000		13		100000		14		1000	15		100		16		10
	120		3.69	3.69	3.69	3.69	3.69	9		6.7		7.7		8.5		9.5		2.91	3.68	4.68	5.38	6.38	2.85	3.65	4.65	5.35	6.15	1		12		1000000		13		1000000		14		100000		5		5		600000		9		600000		13		100000		14		1000	15		100		16		10
	130		3.73	3.73	3.73	3.73	3.73	9.7		6.9		7.9		8.7		9.7		3.11	3.88	4.88	5.58	6.58	3		3.8		4.8		5.5		6.3		1		12		1000000		13		1000000		14		100000		5		5		600000		9		600000		13		100000		14		1000	15		100		16		10
	140		3.77	3.77	3.77	3.77	3.77	10.4	7.1		8.1		8.9		9.9		3.31	4.08	5.08	5.78	6.78	3.15	3.95	4.95	5.65	6.45	1		12		1000000		13		1000000		14		100000		5		5		600000		9		600000		13		100000		14		1000	15		100		16		10
	150		3.81	3.81	3.81	3.81	3.81	11.1	7.3		8.3		9.1		10.1	3.51	4.28	5.28	5.98	6.98	3.3		4.1		5.1		5.8		6.6		1		12		1000000		13		1000000		14		100000		5		5		600000		9		600000		13		100000		14		1000	15		100		16		10
