//############################################################
//# -- X6 MUONLINE SERVER EMULATOR
//# -- www.igcn.mu
//# -- www.muemu.pl
//# -- (C) 2017 IGC-Network | MUEMU (R)
//# ----------------------------------------------------------
//# -- File is a part of MUEMU MuOnline Server files.
//############################################################

// Exp Reward Prize for winning the final stage of the Imperial Fort Event (Sunday)	

// ==============================================
// RangeMinLevel	RangeMaxLevel	ExpReward
// ==============================================
// ----------------------------------------------
0		
	0				10				2500
	11				20				5000
	21				30				10000
	31				40				20000
	41				50				40000
	51				60				60000
	61				70				80000
	71				80				100000
	81				90				120000
	91				100				140000
	101				110				160000
	111				120				180000
	121				130				200000
	131				140				220000
	141				150				240000
	151				160				260000
	161				170				280000
	171				180				300000
	181				190				330000
	191				200				340000
	201				210				350000
	211				220				360000
	221				230				370000
	231				240				380000
	241				250				390000
	251				260				400000
	261				270				410000
	271				280				420000
	281				290				430000
	291				300				440000
	301				310				450000
	311				320				460000
	321				330				470000
	331				340				480000
	341				350				490000
	351				360				500000
	361				370				510000
	371				380				520000
	381				390				530000
	391				400				540000
	401				410				550000
	411				420				560000
	421				430				570000
	431				440				580000
	441				450				590000
	451				460				600000
	461				470				610000
	471				480				620000
	481				490				630000
	491				500				640000
	501				510				650000
	511				520				660000
	521				530				670000
	531				540				680000
	541				550				690000
	551				560				700000
	561				570				710000
	571				580				720000
	581				590				730000
	591				600				740000
	601				610				750000
	611				620				760000
	621				630				770000
	631				640				780000
	641				650				790000
	651				660				800000
	661				670				810000
	671				680				820000
	681				690				830000
	691				700				840000
	701				710				850000
	711				720				860000
	721				730				870000
	731				740				880000
	741				750				890000
	751				760				900000
	761				770				910000
	771				780				920000
	781				790				930000
	791				800				940000
end
