//############################################################
//# -- X6 MUONLINE SERVER EMULATOR
//# -- www.igcn.mu
//# -- www.muemu.pl
//# -- (C) 2017 IGC-Network | MUEMU (R)
//# ----------------------------------------------------------
//# -- File is a part of MUEMU MuOnline Server files.
//############################################################


// Multipliers of Imperial Fort Monster statistics specified in \Data\Monster\Settings\MonsterList.xml

// Monster Statistics for ImperialGuardian event must be changed using multiplier from this configuration file.
// Do not change Monster Statistics from MonsterList.xml file as it will cause issues.

// RangeMinLevel		- Level the range Starts at (start range cannot be a value which presents in any other of specified ranges)
// RangeMaxLevel		- Level the range Ends at (end range cannot be a value which presents in any other of specified ranges)

// Monster Indexes affected with below settings:
//			- 504-511: Boss Monsters
//			- 512-521: Regular Monsters
//			- 523: Trap
//			- 524, 525, 527, 528: Gates
//			- 526: Statue NPC
// Level				- Multiplier of Monster Level specified
// HP					- Multiplier of Monster HP specified
// Mana					- Multiplier of Monster Mana specified
// DamageMin			- Multiplier of Monster Minimum Damage specified
// DamageMax			- Multiplier of Monster Maximum Damage
// Defense				- Multiplier of Monster Defense
// Magic Defense		- Multiplier of Monster Magic Defense
// AttackRate			- Multiplier of Monster Attack Rate
// DefenseRate			- Multiplier of Monster Defense Rate

// Monster statistics applies to players meeting requirements of specified level ranges

// ================================================================================================================================================
// RangeMinLevel	RangeMaxLevel	Level	HP			MP		DamageMin	DamageMax	Defense		MagicDefense	AttackRate		DefenseRate
// ================================================================================================================================================
// ------------------------------------------------------------------------------------------------------------------------------------------------
0 // DO NOT DELETE SECTION NUMBER
	0				10				45		10			0		3			3			3			0				5				5
	11				20				46		10			0		4			4			4			0				6				6
	21				30				47		20			0		5			5			4			0				6				6
	31				40				48		40			0		6			6			4			0				6				6
	41				50				49		50			0		7			7			5			0				7				7
	51				60				50		50			0		8			8			5			0				7				7
	61				70				51		50			0		9			9			5			0				7				7
	71				80				52		60			0		10			10			6			0				7				7
	81				90				53		60			0		11			11			6			0				7				7
	91				100				54		70			0		12			12			6			0				8				8
	101				110				55		70			0		13			13			7			0				8				8
	111				120				56		70			0		14			14			7			0				8				8
	121				130				57		80			0		15			15			7			0				8				8
	131				140				58		80			0		16			16			8			0				8				8
	141				150				59		90			0		17			17			8			0				9				9
	151				160				60		90			0		18			18			8			0				9				9
	161				170				61		90			0		19			19			9			0				9				9
	171				180				62		90			0		20			20			9			0				9				9
	181				190				63		100			0		21			21			9			0				9				9
	191				200				64		500			0		22			22			10			0				10				10
	201				210				66		600			0		23			23			10			0				10				10
	211				220				68		600			0		24			24			11			0				11				11
	221				230				70		700			0		25			25			11			0				11				11
	231				240				72		700			0		26			26			12			0				12				12
	241				250				74		800			0		27			27			12			0				12				12
	251				260				76		800			0		28			28			13			0				13				13
	261				270				78		900			0		29			29			13			0				13				13
	271				280				80		900			0		30			30			14			0				14				14
	281				290				82		900			0		31			31			14			0				14				14
	291				300				85		1000		0		32			32			15			0				15				15
	301				310				87		1100		0		33			33			16			0				15				15
	311				320				89		1200		0		34			34			17			0				16				16
	321				330				91		1300		0		35			35			18			0				16				16
	331				340				93		1400		0		36			36			19			0				17				17
	341				350				95		1500		0		37			37			20			0				17				17
	351				360				97		1500		0		38			38			21			0				18				18
	361				370				99		1550		0		39			39			22			0				18				18
	371				380				101		1600		0		40			40			23			0				19				19
	381				390				103		1700		0		41			41			24			0				19				19
	391				400				105		1800		0		42			42			25			0				20				20
	401				410				107		1810		0		42			42			26			0				20				20
	411				420				109		1820		0		43			43			27			0				21				21
	421				430				111		1830		0		43			43			28			0				21				21
	431				440				113		1840		0		44			44			29			0				22				22
	441				450				115		1850		0		44			44			30			0				22				22
	451				460				117		1860		0		45			45			31			0				23				23
	461				470				119		1870		0		45			45			32			0				23				23
	471				480				121		1880		0		46			46			33			0				24				24
	481				490				123		1890		0		46			46			34			0				24				24
	491				500				125		1900		0		47			47			35			0				25				25
	501				510				127		1910		0		48			48			36			0				25				25
	511				520				129		1920		0		48			48			37			0				26				26
	521				530				131		1930		0		49			49			38			0				26				26
	531				540				133		1940		0		49			49			39			0				27				27
	541				550				135		1950		0		50			50			40			0				27				27
	551				560				137		1960		0		50			50			41			0				28				28
	561				570				139		1970		0		51			51			42			0				28				28
	571				580				141		1980		0		51			51			43			0				29				29
	581				590				143		1990		0		52			52			44			0				29				29
	591				600				145		2000		0		53			53			45			0				30				30
// -- Mastering Level -----------------------------------------------------------------------------------------------------------------------------
	601				610				146		2010		0		53			53			46			0				30				30
	611				620				146		2020		0		53			53			46			0				30				30
	621				630				147		2030		0		53			53			47			0				31				31
	631				640				147		2040		0		53			53			47			0				31				31
	641				650				148		2050		0		54			54			48			0				32				32
	651				660				148		2060		0		54			54			48			0				32				32
	661				670				149		2070		0		54			54			49			0				33				33
	671				680				149		2080		0		54			54			49			0				33				33
	681				690				150		2090		0		54			54			50			0				34				34
	691				700				150		2100		0		55			55			50			0				34				34
	701				710				151		2110		0		55			55			51			0				35				35
	711				720				151		2120		0		55			55			51			0				35				35
	721				730				152		2130		0		55			55			52			0				36				36
	731				740				152		2140		0		55			55			52			0				36				36
	741				750				153		2150		0		56			56			53			0				37				37
	751				760				153		2160		0		56			56			53			0				37				37
	761				770				153		2170		0		56			56			54			0				38				38
	771				780				154		2180		0		56			56			54			0				38				38
	781				790				154		2190		0		56			56			55			0				39				39
	791				800				154		2200		0		57			57			55			0				39				39
end
